zipcode    zip_mean_price_sqft_raw
98001    147.714361
98002    143.909091
98003    152.468118
98004    435.046522
98005    299.086505
98006    283.833515
98007    282.816224
98008    284.900822
98010    195.096368
98011    217.643586
98014    211.466455
98019    193.867447
98022    162.040439
98023    144.086935
98024    233.020675
98027    242.886522
98028    217.842675
98029    266.224000
98030    150.732380
98031    155.559006
98032    144.589183
98033    323.384004
98034    252.288639
98038    168.068214
98039    524.723157
98040    358.421936
98042    156.653123
98045    212.906527
98052    271.584994
98053    258.309381
98055    170.454902
98056    204.299452
98058    171.982405
98059    204.068172
98065    203.704466
98070    260.708712
98072    240.407080
98074    252.308044
98075    255.930620
98077    239.857349
98092    147.255889
98102    399.106084
98103    353.748180
98105    383.461615
98106    214.772177
98107    361.071199
98108    208.609384
98109    414.105155
98112    409.182529
98115    336.010417
98116    331.322126
98117    340.895390
98118    245.237671
98119    406.368531
98122    348.091947
98125    264.466859
98126    275.068653
98133    239.775093
98136    314.680989
98144    296.008228
98146    221.766194
98148    176.852266
98155    229.086659
98166    218.058477
98168    163.599728
98177    277.075361
98178    177.081787
98188    160.331669
98198    173.569628
98199    352.568138
